(1.0E-12,10.0,0.01)(75.55886452159102 1.0 3475.0 3475.0  )
(1.0E-12,10.0,0.01)(75.55886452159102 3.0 3475.0 3475.0  )
(1.0E-12,10.0,0.01)(75.55886452159102 5.0 3475.0 3475.0  )
(1.0E-12,10.0,0.01)(75.55886452159102 7.0 3475.0 3475.0  )
(1.0E-12,10.0,0.01)(75.55886452159102 8.0 3475.0 3475.0  )
(1.0E-12,10.0,0.01)(75.55886452159102 9.0 3475.0 3475.0000000000005  )
(1.0E-12,10.0,0.01)(75.55886452159102 10.0 3475.0 3475.0  )
(1.0E-12,10.0,0.01)(75.19649031244467 13.0 3475.0 3474.9990000000003  )
(1.0E-12,10.0,0.01)(75.19506251595767 14.0 3475.0 3475.0  )
(1.0E-12,10.0,0.01)(75.19649031244467 15.0 3475.0 3475.0000000000005  )
(1.0E-12,10.0,0.01)(75.19506251595767 16.0 3475.0 3474.9990000000003  )
(1.0E-12,10.0,0.01)(75.19649031244467 17.0 3475.0 3475.0  )
(1.0E-12,10.0,0.01)(75.19506251595767 18.0 3475.0 3474.9999999999995  )
(1.0E-12,10.0,0.01)(73.3838426537681 23.0 3475.0 3475.0000000000005  )
(1.0E-12,10.0,0.01)(67.53272670916624 24.0 3475.0 3475.0000000000005  )
(1.0E-12,10.0,0.01)(67.3716092145616 25.0 3475.0 3475.0000000000005  )
(1.0E-12,10.0,0.01)(67.53272670916624 26.0 3475.0 3475.0000000000005  )
(1.0E-12,10.0,0.01)(66.96686335121518 27.0 3475.0 3474.9990000000003  )
(1.0E-12,10.0,0.01)(66.80525178130122 28.0 3475.0 3474.9979999999996  )
(1.0E-12,10.0,0.01)(64.87606018663368 29.0 3475.0 3475.000000000001  )
(1.0E-12,10.0,0.01)(62.54333090826702 30.0 3475.0 3475.000000000001  )
(1.0E-12,10.0,0.01)(62.35150962530434 31.0 3475.0 3474.9990000000007  )
(1.0E-12,10.0,0.01)(60.40673345908617 32.0 3475.0 3475.0  )
(1.0E-12,10.0,0.01)(59.467688793926676 34.0 3475.0 3475.0  )
(1.0E-12,10.0,0.01)(58.93250768328347 35.0 3475.0 3475.0  )
(1.0E-12,10.0,0.01)(56.979831732083966 36.0 3475.0 3475.001  )
(1.0E-12,10.0,0.01)(56.80374808559917 39.0 3475.0 3475.0000000000005  )
(1.0E-12,10.0,0.01)(54.831586512224604 42.0 3475.0 3474.9990000000007  )
(1.0E-12,10.0,0.01)(56.61443062413586 41.0 3475.0 3475.0000000000005  )
